北京百知教育科技有限公司,java人工智能（python)开发签约委培,5.9K-11.9K
杭州玛源生物科技有限公司,python运维开发实习,4K-7K
杭州玛源生物科技有限公司,python-web 全栈工程师（助理/实习）,4K-6K
杭州凌聚网络科技有限公司,python/带薪实习,4K-6K
新华三技术有限公司,python开发工程师,15K-20K
好快全汽配(杭州)有限公司,Python开发工程师,10K-15K
杭州图华科技有限公司,Python开发实习生,2K-4K
杭州呯嘭智能技术有限公司,高级python开发工程师,20K-30K
杭州智一信息技术有限公司,教学老师(python和scratch),10K-15K
中青才智教育投资(北京)有限公司,java+python初级软件工程师签约实习,5.9K-11.8K
中公教育,IT助理讲师（Python）,校招
中公教育,IT培训讲师（Python）,校招
佰钧成信息技术(苏州)有限公司,python开发,12K-18K
中软国际科技服务有限公司,java/python,薪资面议
京东金融,高级Python开发工程师09121833,20K-40K
北京欣如信科技有限公司,Python开发_实习生,6K-8K
纬创软件 (武汉),python开发工程师,15K-18K
中公教育浙江分公司,IT培训讲师（Python）,6K-12K
深圳市芒柠科技有限公司,python开发工程师（杭州）,10K-15K
杭州宇曦网络科技有限公司,python人工智能带薪实习,3.8K-6K
杭州凌聚网络科技有限公司,python人工智能,6K-8K
北京润斯顿教育科技有限公司,java+python 人工智能定岗生,5.9K-11.8K
杭州营拓网络科技有限公司,Python开发/公司直招/基础弱有人带,4K-6K
杭州进兴网络科技有限公司,人工智能python全栈工程师实习生,6K-8K
深圳市源极光科技有限公司,python开发工程师（杭州）,8K-16K
杭州奇时软件技术有限公司,Python大数据开发（基础弱可带）,6K-8K
上海怡科信息科技有限公司,Python工程师,6K-8K
杭州哲信信息技术有限公司,python工程师 ,10K-20K
杭州鑫闰网络科技有限公司,python运维开发实习,6K-8K
杭州南衣科技有限公司,接受转行python开发工程师助理,4K-6K
杭州鑫闰网络科技有限公司,python人工智能带薪实习,6K-8K
杭州睿庭科技有限公司,python人工智能带薪实习,6K-8K
杭州鑫闰网络科技有限公司,Python开发工程师/助理,6K-8K
杭州大搜车汽车服务有限公司,Python开发工程师（数据平台）07-01-06,11K-20K
杭州大搜车汽车服务有限公司,Python研发工程师（爬虫方向）07-01-28,9K-15K
杭州大搜车汽车服务有限公司,Python实习生07-01-56,3K-5K
杭州世柔科技有限公司,（年底双薪）python工程师助理+五险一金,4K-6K
北京欣如信科技有限公司,python前端开发实习生,8K-10K
杭州海康威视数字技术股份有限公司,YF-Python技术开发工程师-01,10K-20K
杭州艾特网果网络科技有限公司,python开发工程师实习+人工智能,4K-6K
杭州筑龙信息技术股份有限公司,Python软件开发工程师,15K-20K
北京欣如信科技有限公司,python实习生（大数据方向）,8K-10K
杭州浩发科技有限公司,Python开发/直招,4K-6K
杭州中复网络科技有限公司,Python算法工程师,4K-6K
北京银信长远科技股份有限公司,"Python,数据挖掘",10K-15K
杭州中复网络科技有限公司,Python开发/公司直招/基础弱有人带,4K-6K
杭州明玛网络科技有限公司,python开发工程师,6K-8K
杭州中复网络科技有限公司,急招Python助理,4K-6K
杭州明玛网络科技有限公司,python开发,4K-6K
恒生电子股份有限公司,Python/C++开发工程师,10K-20K
杭州凯发网络科技有限公司,Python人工智能内部培养,4K-7K
北京欣如信科技有限公司,python实习生（双休）,8K-10K
上海优稿头网络科技有限公司,后端开发工程师/php/python/java/developer,10K-15K
上海优稿头网络科技有限公司,后端-android-ios-java-php-python工程师,10K-15K
杭州扬冠网络科技有限公司,python人工智能,4K-6K
杭州明玛网络科技有限公司,Python爬虫工程师+储备培养,4K-6K
杭州扬冠网络科技有限公司,python全栈人工智能AI工程师,4K-6K
杭州铕人网络科技有限公司,python开发工程师,13K-21K
杭州恒生云融网络科技有限公司,高级python开发工程师,12K-20K
二六三网络通信股份有限公司,Python开发工程师（运维开发）,10K-15K
杭州迪普科技股份有限公司,Python开发实习生,2K-4K
宇博信诚(北京)信息技术有限公司上海分公司,python工程师,12K-20K
杭州玛源生物科技有限公司,Python开发实习岗/安排住宿,3K-5K
江苏传智播客教育科技股份有限公司北京分公司,Python导师,10K-15K
深圳市法本信息技术股份有限公司,Python开发工程师,15K-20K
中公教育浙江分公司,IT助理讲师（Python）,6K-12K
杭州上元教育咨询有限公司,招聘Python兼职讲师,6K-8K
杭州艾特网果网络科技有限公司,python开发工程师实习,3.5K-6K
杭州智链达数据有限公司,Python后端开发工程师,12K-18K
杭州飞享数据技术有限公司,Python开发工程师,15K-30K
杭州健培科技有限公司,高级python工程师,8K-12K
杭州健培科技有限公司,初级python工程师,6K-10K
秦皇岛市共享科技发展有限公司,Python开发工程师助理,6K-8K
软通动力信息技术(集团)有限公司,python工程师（杭州）,10K-20K
杭州联众医疗科技股份有限公司,Linux python开发运维,10K-20K
苏州西岭控制技术有限公司, python开发工程师,10K-15K
北京千锋互联科技有限公司上海分公司,python讲师,20K-40K
杭州奕锐电子有限公司,python开发,8K-12K
上海博为峰软件技术股份有限公司长沙分公司,python开发工程师,8K-10K
杭州数美科技有限公司,YF601Python后端开发工程师（HZ）,10K-15K
杭州巴九灵文化创意有限公司,技术开发-后端工程师-python,10K-15K
杭州创慧信息技术有限公司,python-web 全栈工程师,6K-8K
杭州国誉信睿企业管理咨询有限公司,python开发（机器学习方向）,10K-20K
巧鹿技术有限公司,Python工程师,13K-25K
杭州全速网络技术有限公司,python工程师,10K-15K
杭州国誉信睿企业管理咨询有限公司,图像识别算法工程师（python方向）,15K-30K
浙江同花顺云软件有限公司,python开发工程师,12K-20K
微医集团,python工程师-智能云业务线03,10K-15K
杭州嘉澳投资管理有限公司,Python开发工程师,10K-20K
杭州帮实科技股份有限公司,Python后端工程师,10K-20K
浙江舒云互联网传媒有限公司,python开发工程师,8K-10K
浙江诺诺网络科技有限公司,Python开发工程师,13K-20K
杭州万链信息科技有限公司,Python/PHP程序员,8K-15K
浙江诺诺网络科技有限公司,Python工程师,10K-18K
浙江省国贸供应链服务有限公司,python开发工程师,10K-20K
杭州义恒教育科技有限公司,Python爬虫工程师,8K-12K
杭州艾锝信息技术有限公司,Python开发工程师（实习） ,3K-4K
北京百知教育科技有限公司,java大数据（人工智能方向）签约实习生,5.9K-11.8K
新华三技术有限公司,大数据软件测试工程师,1K-2K
杭州盈软科技有限公司,前端开发实习生,3K-6K
杭州图华科技有限公司,自动化测试工程师,9K-15K
杭州图华科技有限公司,开发测试工程师,9K-15K
杭州晟视科技有限公司,C++开发工程师,8K-15K
观澜网络(杭州)有限公司－丁香园,测试工程师（丁香医生）,8K-15K
杭州卓梦芸创科技有限公司,运维工程师,70K-100K
杭州睿数科技有限公司,Python Web开发工程师,15K-20K
南京迈珂优软件科技有限公司,前端开发,10K-15K
中青才智教育投资(北京)有限公司,java软件工程师与人工智能开发委培,5.9K-11K
中青才智教育投资(北京)有限公司,java+人工智能（AI）开发签约实习生,5.9K-11K
杭州汇健科技有限公司,生物信息分析工程师（生物质谱方向）,6K-10K
新华三技术有限公司,质量管理工程师,10K-15K
杭州鑫闰网络科技有限公司,++++云计算工程师（可实习）,8K-10K
杭州浙思培训学校有限公司,人工智能+开发项目助理（可培养）,4K-6K
联发科技股份有限公司,算法工程师 ,15K-25K
新华三技术有限公司,云存储软件开发工程师,13K-25K
新华三技术有限公司,Hadoop/Spark/Flink开发工程师,15K-20K
新华三技术有限公司,图计算/图数据库开发工程师,10K-20K
新华三技术有限公司,云桌面协议开发工程师,15K-20K
新华三技术有限公司,Hadoop/Spark开发工程师,10K-20K
杭州辛孚能源科技有限公司,炼化装置模型开发工程师,12K-18K
